text,language,n_words
"Wezmę to pod uwagę.
",pl,4
"Vaikka kohtasimme vaikeuksia, niin lopputulos on oikein hieno.
",fi,8
"Ο κ. Cao Dong εξακολουθεί να βασανίζεται σε μια φυλακή στη βορειοανατολική Κίνα.
",el,13
"Dziękuję za poruszenie tej niezwykle aktualnej kwestii, dotyczącej bezpieczeństwa naszych obywateli.
",pl,11
"Nadszedł czas, żeby to zrobić.
",pl,5
"Θεωρώ επίσης απαραίτητη την ενσωμάτωση των δικαιωμάτων του παιδιού στον Χάρτη των Θεμελιωδών Δικαιωμάτων.
",el,14
"Rány ale zdaleka nejsou zahojeny a každé opatření EU je odpovídajícím způsobem hodnoceno.
",cs,13
"Il consumatore certi li capisce e certi no.
",it,8
"Pro dokazování, o kterém jste dnes mluvil, skutečně potřebujeme, aby byli soudci vhodně odborně připravení.
",cs,15
"Če bi bilo za odločitev v Svetu potrebno soglasje, se to ne bi zgodilo.
",sl,14
"Lo hanno affermato sia il Commissario che il Presidente in carica del Consiglio.
",it,13
"Trafikträngsel finns inte bara i luften, utan också på marken, särskilt på flygplatser.
",sv,13
"Éste es un elemento clave del trabajo de las PYME y debería ser rentable.
",es,14
"Objet : Charter franco-allemand
",fr,4
"När det gäller hiv och aids måste förebyggande åtgärder dessutom prioriteras.
",sv,11
"Täydellinen ja puolueeton arvio tämän kysymyksen kaikista näkökohdista antaa meille mahdollisuuden tehdä oikeat päätökset.
",fi,14
"Jednotlivé krajiny mají odlišné podnikatelské struktury.
",cs,6
"Wir haben gestern mit Kommissar Frattini diskutiert.
",de,7
"   . – Än en gång har parlamentet riktat sin uppmärksamhet mot framstegen i kandidatländerna.
",sv,12
"Si tratta forse di mancanza di interesse da parte delle autorità politiche?
",it,12
"Das Ziel ist klar definiert, es geht um die Bekämpfung der illegalen Einwanderung.
",de,13
"Niemniej jednak, nie mam bazy legislacyjnej poza Europą.
",pl,8
"C’est un prix qu’il faut éviter de payer.
",fr,10
"Det er også et spørgsmål, der vedrører menneskerettighederne, hvis ikke jeg tager fejl!
",da,13
"Hur skall vi göra för att inte slösa bort det?
",sv,10
"3, I.8, stk.
",da,2
"A União Europeia dedica mais atenções à Albânia do que a qualquer outro país.
",pt,14
"v pisni obliki. - Dobro delovanje enotnega trga pomeni tudi varne proizvode in zaupanje potrošnikov.
",sl,14
"Das ist fair für alle.
",de,5
"In unserem Land läuft das anders.
",de,6
"Wir kommen nun zur Abstimmungsstunde.
",de,5
"Poder-se-ia dizer que o fizemos sob o lema ""da reflexão à acção"".
",pt,14
"Sie sind ein Mittel für die Verständigung und Zusammenarbeit mit unseren Außenpartnern.
",de,12
"Elle n'aura pas une durée de vie infinie et devra englober les communautés locales.
",fr,15
"Panie komisarzu, panie i panowie! Chciałbym pokrótce przedstawić sprawozdanie w sprawie miejskiego wymiaru polityki spójności.
",pl,15
"En mi opinión, el SEAE debería contratar candidatos de las tres fuentes.
",es,12
"Jedná se o zavedení vzájemnosti v oblasti vízové politiky.
",cs,9
"Ændringen af grænseprocedurerne kan ikke ske fra den ene dag til den anden.
",da,13
"Cela dit, les soupçons qui sont nés obligeront l'institution à être plus vigilante.
",fr,14
"Isso não é rigorosamente conforme à legislação europeia, pelo que a situação actual não satisfatória.
",pt,15
"Bez takových učitelů je obtížné dosáhnout nějakého zlepšení.
",cs,8
"Valmisteilla on esimerkiksi maaperädirektiivi.
",fi,4
"Musím říct, že takové požadavky považuji za udivující.
",cs,8
"En nuestra opinión, también es necesario proteger a este tipo de pasajeros.
",es,12
"He estado en Palestina docenas de veces desde 1968 y he visto innumerables casas destruidas.
",es,14
"V nádrží B30 se skladuje velké množství jaderného materiálu, se kterým se již desetiletí nenakládá správně.
",cs,15
"Če Unija vloži denar, mora biti tudi sodelovanje med ...
",sl,9
"Quelles sont nos relations avec ce pays?
",fr,7
"Możecie liczyć na pomoc PPE w osiągnięciu szybkich postępów.
",pl,9
"Transatlantycka Rada Ekonomiczna (głosowanie)
",pl,4
"Insofern können sie von der Kommission grundsätzlich, teilweise oder mit redaktionellen Änderungen akzeptiert werden.
",de,14
"Därför kan den bli utsatt för den internationella organiserade brottsligheten.
",sv,10
"Arvoisa rouva Bonino, vain yksi huomio.
",fi,6
"Por el contrario, sus feroces opositores generan un clima interno de inseguridad.
",es,12
"Vastaan ensimmäiseen kysymykseen seuraavasti: puheenjohtajaehdokas on ilmiselvästi ja ennen kaikkea keskuspankkien pääjohtajien ehdokas.
",fi,13
"Aktuella undersökningar visar hur värdefullt och effektivt det är att förebygga.
",sv,11
"Zato sta naša resolucija in protidiskriminacijska direktiva tako pomembni.
",sl,9
"Damit erfüllen wir die in Artikel 31 der Charta der Grundrechte der Europäischen Union niedergelegten Bestimmungen.
",de,15
"Jag skulle vilja lämna övriga frågor till föredragandena.
",sv,8
"Jeg er også fuldstændig enig i den grund, som gives hertil.
",da,11
"Nous avons tenu un forum interparlementaire très fructueux.
",fr,8
"L'Unione europea deve utilizzare meglio le loro competenze che, in materia, sono quasi inesauribili.
",it,15
"Det finns oroväckande tecken på feminisering av fattigdom.
",sv,8
"Det bør også være en tilstrækkelig garanti for USA.
",da,9
"Warum regelt das Kirchenrecht die Rechte von nicht-katholischen Bürgern?
",de,10
"Até em Marte, é o suporte da vida.
",pt,8
"Vi har gjort tre ting.
",da,5
"Na primer, strategija Evropa 2020 je omenjena večkrat.
",sl,7
"- Report: Mauro
",cs,2
"Parlamentin on tehtävä kaikkensa sen varmistamiseksi, että kansanterveys ja turvallisuus ovat tärkeällä sijalla asialistalla.
",fi,14
"Naturalmente, usted está al tanto del desarrollo de este asunto.
",es,10
"Al contrario, apporta modifiche al Regolamento che impongono semplicemente dei limiti alle normali attività parlamentari.
",it,15
"Schon zu Beginn Ihres Vorsitzes sind Sie mit erheblichen Herausforderungen konfrontiert worden.
",de,12
"Komisija si zelo prizadeva za spodbuditev tega sodelovanja.
",sl,8
"A partir daqui, para onde vamos na Nigéria?
",pt,8
"Jak jednak możemy zagwarantować koncentrację na innowacyjnych zamówieniach publicznych?
",pl,9
"Vrh, na katerem se je začelo, je potekal 7. maja 2009.
",sl,9
"w imieniu Grupy GUE/NGL. - (DE) Pani przewodnicząca!
",pl,8
"Když si stěžujeme, že Parlament nemohl vnést do této otázky dostatečnou kompetentnost, máme úplnou pravdu.
",cs,15
"Mam nadzieję, że to co komisarz Tajani mówił wielokrotnie, okaże się prawdą.
",pl,12
"O que deveríamos fazer em relação ao direito de avocação no âmbito do processo Lamfalussy?
",pt,15
"Pragnę też przypomnieć, że w ostatnich tygodniach świat dotknęło kilka poważnych klęsk żywiołowych.
",pl,13
"Diese Diskussion, meine Damen und Herren, muß auch hier in unserem Parlament verstärkt geführt werden.
",de,15
"A UE tem de encarar com seriedade a crise dos recursos haliêuticos.
",pt,12
"Mais j'estime qu'il ne suffit pas ici non plus de faire du charme.
",fr,15
"Der er ikke noget behov, nogen logik eller nogen retfærdiggørelse for liberaliseringen af postvæsenet.
",da,14
"Θεωρώ επίσης ουσιώδη το συντονισμό μεμονωμένων μέτρων εντός της ΕΕ.
",el,10
"Di passare da quella mitica cifra, molto difficile da superare, dell'1, 27 percento allo 0, 97 percento.
",it,14
"Ministerineuvosto on ennen Kioton ilmastokokousta päättänyt kannasta vähentää 15 % vuoteen 2010 mennessä.
",fi,10
"Därför måste vi ha politisk enighet vid toppmötet i Wien.
",sv,10
"Avslutningsvis skulle jag vilja säga följande.
",sv,6
"   . – Fru talman!
",sv,2
"Może on nawet podsycać sprzeciw w całej Europie, a nie tylko w Irlandii.
",pl,13
"To je stališče Komisije in seveda sem tudi jaz mnenja, da je primerno.
",sl,13
"La discussion commune est close.
",fr,5
"Mina gratulationer till Aelvoet för detta utmärkta betänkande.
",sv,8
"Določitev naših pravil je naša naloga.
",sl,6
"Kommissionens grönbok har därför gett oss en värdefull möjlighet att studera ämnet.
",sv,12
"Signor Presidente, l'onorevole Fitzsimons con la sua relazione ha svolto un buon lavoro.
",it,14
"Dalším bodem je hlasování.
",cs,4
"(DE) Je vous remercie, Madame Malmström.
",fr,6
"Αυτές είναι ευρωπαϊκές εταιρείες πετρελαίου.
",el,5
"Sejam muito bem-vindos ao Parlamento Europeu.
",pt,7
"Os procedimentos devem ser cumpridos.
",pt,5
"Os elementos do acervo não são negociáveis.
",pt,7
"Prav tako je bila razprava o legitimnosti.
",sl,7
"Vogliamo dei nuovi immigrati che non abbiano casa, che non abbiano lavoro?
",it,12
"La commissione per i trasporti del Parlamento è molto attenta a questa situazione.
",it,13
"Oggetto: Sicurezza sociale dei lavoratori e libera circolazione
",it,8
"Dette forslag er meget vigtigt og bør overvåges af tilsynsmyndighederne i medlemsstaterne.
",da,12
"Το Ευρωπαϊκό Κοινοβούλιο είναι διατεθειμένο να ενεργήσει υπεύθυνα στο πεδίο των εξωτερικών αρμοδιοτήτων του.
",el,14
"De sagde i går til en avis, at Vesten skal være forenet.
",da,12
"Sono ragioni sufficienti per esprimere un voto contrario.
",it,8
"Tässä erittäin ilahduttavassa mietinnössä vaaditaan lisäämään varoja, jotka maatalouden tutkimukselle myönnetään EU:n tutkimusmäärärahoista.
",fi,14
"Abschließend möchte ich der Berichterstatterin und ihren Mitarbeiterinnen und Mitarbeitern danken.
",de,11
"Ese es el motivo por el que vamos a votar a favor de este informe.
",es,15
"La question des honoraires et redevances appelle des éclaircissements.
",fr,9
"Därför vore det meningslöst att säga upp dessa överenskommelser.
",sv,9
"Ecco l'insegnamento che abbiamo tratto dall'Iran, onorevole Tzavela.
",it,10
"Subsidiariteten fungerar för EU.
",sv,4
"Si tratta di questioni soggette soltanto a procedura di consultazione per quanto riguarda il Parlamento.
",it,15
"Ensimmäinen on osoitettu Jean-Paul Gauzèsille.
",fi,6
"Obstajati mora domnevni terorist, ki ga je mogoče iskati.
",sl,9
"Vi skulle naturligtvis föredra att allt blod donerades frivilligt.
",sv,9
"Sitä ei ymmärretä tässä salissa eikä sen ulkopuolella.
",fi,8
"Αυτή η ορθή μέθοδος βοηθά στην ενίσχυση μιας κοινοτικής και όχι μιας κυβερνητικής προσέγγισης.
",el,14
"Παρ’ όλα αυτά, θα καταψηφίσω την οδηγία.
",el,7
"C'est toujours un plaisir de l'entendre.
",fr,8
"Powiedziałem, że byłem premierem mojego kraju, kiedy wszedł on do Unii Europejskiej.
",pl,12
"question nº 13 de (H-0553/01) :
",fr,4
"Είμαι υπέρμαχος της επικουρικότητας.
",el,4
"Boj proti nezaměstnanosti mladých lidí je jedním z nejnaléhavějších problémů Evropy.
",cs,11
"Världen gick inte under.
",sv,4
"Ich höre respektvoll dem zu, was Sie mir sagen.
",de,9
"Worin liegt nun das Problem?
",de,5
"(Mødet udsat kl. 19.20 og genoptaget kl.
",da,6
"Jak zapatruje się Komisja na realizację tej polityki przez Turcję?
",pl,10
"Las propias PYME parecen divididas a este respecto.
",es,8
"Om EMU skall kunna vinna förtroende hos allmänheten så måste detta göras.
",sv,12
"Komitologiamenettely ei saa muodostua lainsäädännän perusperiaatteeksi.
",fi,6
"Změna by proto mohla začít odmítnutím nadat vás předsednictvím.
",cs,9
"Eden od mojih volivcev se je nedavno vrnil s počitnic v drugi državi EU.
",sl,14
"Prosim, sporočite mi jih do konca današnjega dneva.
",sl,8
"Οι δοκιμές πρέπει να διενεργηθούν με τη συμμετοχή της Επιτροπής.
",el,10
"Således kan fælles målsætninger prioriteres.
",da,5
"(Parlamentet antog resolutionen.)
",sv,3
"Vårt system idag grundar sig på maktdelning, folksuveränitet och respekt för mänskliga rättigheter.
",sv,13
"(ES) Herr Präsident! Der Rückruf von gefährlichem Spielzeug im August und September alarmierte die Öffentlichkeit.
",de,15
"Os acontecimentos na Tunísia também abalaram as fundações dos regimes totalitários noutros países.
",pt,13
"Esta seria a via para criar emprego e alcançar um maior progresso económico.
",pt,13
"To je točno to, kar obravnava CARS 21.
",sl,7
"Kirjallinen lausuma (työjärjestyksen 142 artikla)
",fi,4
"Komissio on Euroopan parlamentin tavoin huolestunut viimeaikaisista tapahtumista Jaffnassa ja sen lähistöllä.
",fi,12
"Tuen hänen tekemäänsä analyysia kokonaisuudessaan.
",fi,5
"Et nous ne savons même pas si le bilan énergétique est positif.
",fr,12
"Hr. formand, i udvalget stemte jeg for forkastelse af betænkningen, og det begrunder jeg herved:
",da,15
"Zdravotní péče musí být ponechána v kompetenci členských států.
",cs,9
"L'industria automobilistica ha rallentato il tutto e la Commissione resta a guardare.
",it,13
"Det får inte förekomma, säger man.
",sv,6
"In secondo luogo, abbiamo riscontrato un'enorme domanda da parte dell'Asia.
",it,12
"W ostatecznym rozrachunku najlepszym rozwiązaniem są środki własne.
",pl,8
"Toisin sanoen tšetšeenit uhrattiin Irakin vuoksi.
",fi,6
"Vi skulle inte ha befunnit oss här om kommissionen hade reagerat snabbt, uppriktigt och kraftfullt.
",sv,15
"EU kan visa upp goda exempel som visar att detta är rätt väg att gå.
",sv,15
"Haluaisin eurooppalaisen rikoslain, eurooppalaisen siviilimenettelylain ja eurooppalaisen rikosmenettelylain.
",fi,8
"O discurso sobre uma terceira via é, de facto, de levar a sério.
",pt,13
"No le cerremos el paso en Amsterdam.
",es,7
"Zdaj je gospod Nassauer predložil nekakšen okoljski bogokleten zakon.
",sl,9
"Drittens: Landwirtschaft.
",de,2
"Τούτο δεν εμποδίζει να την υποστηρίξουμε και να προωθήσουμε την επικύρωσή της.
",el,12
"Ich denke, dass den Hauptproblemen der Inseln zum Beispiel mit horizontalen Instrumenten wirksamer beizukommen ist.
",de,15
"Vysvětlení hlasování
",cs,2
"Vi har gjort betydande framsteg.
",sv,5
"Λειτουργούμε σε μια αγορά όπου επικρατεί συνωστισμός, συνάδελφοι.
",el,8
"Ποινικά μέτρα για τη διασφάλιση της προστασίας των δικαιωμάτων διανοητικής ιδιοκτησίας (ψηφοφορία)
",el,12
"Bohužel, ne všechny členské státy Evropské unie přijaly tehdy politické rozhodnutí podpořit Spojené státy.
",cs,14
"Det är dock precis det ett ambitiöst och långtgående förslag av detta slag förväntas göra.
",sv,15
"Nogle af disse ændringsforslag retter blot op på unøjagtigheder eller upræcise formuleringer - såsom ændringsforslag 1, 3 og 8.
",da,15
"Należy jednak pamiętać, iż:
",pl,4
"La Comisión ha manifestado su gran reconocimiento al Sr. Carlo Trojan por su labor.
",es,14
"Aqui, no Parlamento, dissemos um claro ""não"" ao acordo SWIFT.
",pt,10
"Etykietowanie i identyfikowalność naprawdę stanowiły minimum, którego broniliśmy.
",pl,8
"Osallistuminen on ehdoton edellytys tiettyjen alojen yhteistyöllemme.
",fi,7
"Sabemos que este proyecto comenzó antes de la entrada de Polonia en la Unión Europea.
",es,15
"Se ne è già discusso e si continuerà a discuterne nel corso dei prossimi Consigli.
",it,15
"Sledijo izjave Sveta in Komisije glede dosežkov konference o podnebnih spremembah na Baliju.
",sl,13
"Skozi to ožino vsak dan plujejo veliki tankerji.
",sl,8
"V současnosti je neomluvitelné ustupovat od těchto cílů.
",cs,8
"Resultatet av analysen skall överlämnas till kommissionen i början av 2004.
",sv,10
"Στην πραγματικότητα, κάνουμε περισσότερα και τα κάνουμε χειρότερα.
",el,8
"Princippet om beskyttelse af personoplysninger skal opfylde nogle reelle krav.
",da,10
"Ein weiterer Punkt, den ich kommentieren möchte, ist das Verkehrswesen.
",de,10
"L' incenerimento è spesso il metodo più efficace e sicuro di eliminazione dei rifiuti.
",it,14
"Voilà maintenant seize ans que le débat sur le chocolat a débuté au Parlement européen.
",fr,15
"Pane předsedající, na tuto rozpravu rozhodně nebude vzpomínat jako na radostnou kapitolu v historii Parlamentu.
",cs,15
"Eυτυχώς που στην πράξη βρισκόμαστε πολύ πιο μπροστά απ' ότι στην πολιτική.
",el,12
"My, jako wspólnota międzynarodowa, musimy wzmocnić naszą determinację przeciwko tyranicznemu reżimowi Mugabe.
",pl,12
"Komisja ponownie rozrzutnie i w nieodpowiedzialny sposób obchodzi się z nie swoimi pieniędzmi.
",pl,13
"Zato sem Komisijo prosila, da zagotovi ukrepe za njihovo podporo.
",sl,10
"Tudi to vprašanje je treba previdno obravnavati, če bo kdaj izpostavljeno.
",sl,11
"Ευρωπαϊκή Ένωση πρέπει να αναλάβει πρωτοβουλία σε αυτό.
",el,8
"Signor Presidente, desidero riallacciarmi alle parole della onorevole Doyle.
",it,9
"Επ' αυτού θα θέλαμε μια θετική αντίδραση εκ μέρους της Επιτροπής.
",el,11
"Usted puede formular una pregunta, pero no reabrir el debate.
",es,10
"To ograniczenie uprawnień trybunału konstytucyjnego jest czymś z goła wyjątkowym i zagraża zasadzie podziału władz.
",pl,15
"Por eso no puedo aceptar las enmiendas 28, 29, 58 y 59.
",es,8
"Deshalb möchte ich sehr nachdrücklich unterstützen, was die Kollegin Hieronymi gesagt hat.
",de,12
"V evropskih demokracijah so vlade izvoljene z demokratičnim volilnim sistemom.
",sl,10
"εξ ονόματος της Ομάδας PPE-DE. - (EN) Κύριε Πρόεδρε, δεν υπάρχει ευημερία χωρίς υγεία.
",el,14
"Mietintö on pätevä yritys määritellä Afganistanin keskeiset ongelmat ja niiden mahdolliset ratkaisut.
",fi,12
"É proporcionar escolhas!
",pt,3
"Je suis en mesure de soutenir la proposition adoptée par la commission économique et monétaire.
",fr,15
"Ebenso sinnlos wäre es, die Schuldigen an der Verschmutzung zu entschädigen.
",de,11
"Ich erinnere mich gut daran, als Österreich 1998 die Ratspräsidentschaft innehatte.
",de,10
"C’est un élément vital de la société et de l’économie modernes.
",fr,13
"La Asociación Oriental es un instrumento muy importante, sobre todo para fortalecer la democracia.
",es,14
"Viděl jsem to sám na mnoha případech na hranici mezi Německem a Francií.
",cs,13
"Olemme lopuksi myös vaatineet enemmän objektiivisia kriteerejä virkaa varten.
",fi,9
"Βέβαια, θα διορθώσουμε τα πράγματα και θα επανεισαγάγουμε την ερώτηση αριθ. 9.
",el,11
"Prvi je razprava o prihodnosti evropskega proračuna.
",sl,7
"El ponente es el Sr. Mulder.
",es,6
"V první řadě musíme udržovat rovnováhu při přidělování fondů zemím východní Evropy a Středomoří.
",cs,14
"Możemy jednak powiedzieć, że ten plan działań stanowi prawdziwą odpowiedź na naglący charakter sytuacji.
",pl,14
"Merci, Monsieur van Dam.
",fr,4
"El Sr. Nassauer se pronunciará sobre este punto en nombre del Partido Popular Europeo.
",es,14
"J'appelle la question n° 34 de M. Posselt (H-0380/03):
",fr,9
"Ich möchte daher darum bitten, diesen beiden Themenbereichen 2009 besondere Beachtung zu schenken.
",de,12
"Jsem přesvědčen, že je to absolutně dostačující.
",cs,7
"Tomamos nota disso.
",pt,3
"Wyciągnijmy zatem z tego wnioski.
",pl,5
"Consiguió escapar a Perú, donde se encuentra escondido.
",es,8
"Tuntuu, että melkein joka osa-alalla huomaamme toteuttavamme erilaista, toisinaan vastakkaista politiikkaa.
",fi,12
"Kot poročevalec za reformo SKP proti letu 2020 sem vesel, da smo med skupinami dosegli kompromis.
",sl,15
"Euro 6 är ett viktigt instrument för att förbättra luftkvaliteten i Europa.
",sv,11
"Parlamentet vil bestemt hjælpe med til det.
",da,7
"Puhuitte Turkin liittymisestä Euroopan unioniin ja niistä päätöksistä, joita on nyt tehtävä.
",fi,12
"Garantizar que el mercado energético es transparente y que puede controlado.
",es,11
"Le procès-verbal de la séance d'hier a été distribué.
",fr,11
"Og løsningen er - og det gentager jeg - et privilegeret partnerskab.
",da,10
"Γι' αυτό δεχτήκαμε ομόφωνα και επαναφέραμε την συγκεκριμένη τροπολογία.
",el,9
"Jeg vil gerne fremsætte fire bemærkninger, hr. kommissær.
",da,8
"Senhor Presidente, somos frequentemente colocados perante um dilema ao lidarmos com regimes repugnantes e hediondos.
",pt,15
"Po mojem mnenju je to bistveno poročilo.
",sl,7
"Il sud della Polonia deve instaurare migliori legami di comunicazione con il resto dell’Europa.
",it,15
"A declaração nº 35, anexa à Acta Final do Tratado de Amesterdão, vai no mesmo sentido.
",pt,15
"Desuden kan programmer vedrørende energieffektivitet skabe hundredtusinder af arbejdspladser i Europa.
",da,11
"Wprawdzie raz przybył pan spóźniony, ale nie wysłałem wtedy po pana eskorty motocyklowej.
",pl,13
"Der zweite Punkt, der mir ganz wichtig erscheint, ist die Frage der Rüstungsexportkontrolle.
",de,13
"Ainoastaan tämän menettelyn ansiosta saamme nimittäin täysimääräisen lainsäädäntövallan ja aseman kaikkien säädösten täytäntöönpanoprosessissa.
",fi,13
"Potřebuje vyvinout mnohem větší společné úsilí, jelikož jeho potenciál je obrovský.
",cs,11
"Tyvärr är kostnader en punkt som ofta kommer upp eftersom kostnaderna är lätta att mäta.
",sv,15
"Creo que hemos de trabajar juntos para establecer propuestas mutuamente aceptables.
",es,11
"Partilhamos com todos os cidadãos bascos o sofrimento do nosso povo.
",pt,11
"Πρώτον, η οδηγία περί επιστροφής, αν υλοποιηθεί, δεν θα γίνει μεμονωμένα.
",el,11
"Όταν οι γονείς μεταναστεύουν για λόγους εξεύρεσης εργασίας, τότε αυτά τα παιδιά μένουν μόνα.
",el,14
"Jednakże UE stoi w obliczu problemu.
",pl,6
"Co najmniej 10 zabitych, około 50 zaginionych bądź uprowadzonych.
",pl,7
"Daher teilen wir nicht die Befürchtungen des Berichterstatters und die in seinen Änderungsanträgen gestellten Forderungen.
",de,15
"Hočemo, da je ta vrh stremljiv.
",sl,6
"eine bessere Nutzung von Wissenschaft, Technologie und Innovation;
",de,8
"písemně. - Pro zelené je výsledek hlasování katastrofální.
",cs,7
"En halua tehdä ulkosuhteista vastaavan komission jäsenen elämää vaikeaksi.
",fi,9
"To stačí, aby se vám udělalo špatně.
",cs,7
"Naturligtvis skall vi fördöma alla våldsdåd.
",sv,6
"Como ha dicho usted, Europa podrá ejercer influencia si puede actuar con decisión.
",es,13
"Zahvaljujem se tem državam in upam, da bodo lahko prispevale tudi v prihodnosti.
",sl,13
"Ohion osavaltion tuomioistuin, jossa asia oli vireillä, kuitenkin hylkäsi 17. marraskuuta 1998 ohiolaisyhtiön nostaman kanteen.
",fi,13
"Keskustelussa on kiinnitetty suurta huomiota hallitustenväliseen konferenssiin, tarpeeseen muuttaa perussopimuksia.
",fi,10
"Sin embargo, me gustaría manifestar mi reconocimiento al ponente por su planteamiento y su cooperación.
",es,15
"Pierwsza uwaga: mamy problem instytucjonalny.
",pl,5
"Τώρα ας επιστρέψουμε στην υπόθεση Zhovtis.
",el,6
"Jest to sygnał, który został wysłany w szczególności do Unii Europejskiej.
",pl,11
"ΑΙΤΙΟΛΟΓΗΣΕΙΣ ΨΗΦΟΥ
",el,2
"Afstemningen finder sted tirsdag den 18. januar 2011.
",da,6
"Inne miały wymiar międzynarodowy, jak konflikt na Bliskim Wschodzie, o którym pan mówił.
",pl,13
"Hvis vi ikke tager denne synsvinkel i betragtning, vil det svække Europas forhandlingsposition.
",da,13
"For så vidt er hr. Duff muligvis blevet overset i mængden af forslagsstillere.
",da,13
"Tak więc nazywamy ich obserwatorami i w przedmiotowym tekście również określamy ich mianem obserwatorów.
",pl,14
"Brak listy wskaźników ubóstwa w niezamierzony sposób dowodzi braku zrozumienia, co oznacza być ubogim.
",pl,14
"Esta tecnología ya está disponible.
",es,5
"Μία κατάφωρη ασυνέπεια του τομέα των ασφαλειών οχημάτων αφορά τον τομέα της προσωρινής κατοικίας.
",el,14
"Je vous remercie de votre attention.
",fr,6
"(Vivos aplausos)
",pt,2
"för ALDE-gruppen. - (NL) Det här direktivet handlar om patienter.
",sv,10
"L'Irlande a eu sa part de problèmes.
",fr,8
"Los Estados miembros no pueden sustraerse unilateralmente a esta responsabilidad.
",es,10
"Das ist sehr wichtig und muss ausdrücklich betont werden.
",de,9
"To właśnie fundamentaliści islamscy dążą do wojny pomiędzy grupami wyznaniowymi i cywilizacjami.
",pl,12
"Ordine del giorno: vedasi processo verbale
",it,6
"Em segundo lugar, as garantias processuais.
",pt,6
"Na szczelnie wypełnionych dwunastu stronach nie ma ani jednego odniesienia do panelu IPCC.
",pl,13
"W bezprecedensowym tempie rodzi się nowy globalny system walutowy i rośnie liczba jego podmiotów.
",pl,14
"L’offerta è valida anche per la Bielorussia.
",it,8
"A senhora deputada Roithová falou do reapetrechamento.
",pt,7
"Il nous faut une politique qui couvre les points suivants:
",fr,10
"Wszystkie sankcje podlegają regularnemu przeglądowi pod kątem ich skuteczności.
",pl,9
"No entanto, verifico agora que estamos a colocar a Constituição e as perspectivas na gaveta.
",pt,15
"En ole kuullut teidän puhuvan siitä, joten olette pettänyt minut.
",fi,10
"Fakt ist, dass dies momentan sehr schwer ist.
",de,8
"Detta underlättas av den nya tekniken för provrörsbefruktning.
",sv,8
"Unohtakaamme siis dogmaattiset väitteet, joita täällä on tänäkin iltana esitetty.
",fi,10
"Jag vill tacka parlamentet för debatten i denna fråga.
",sv,9
"   – Herr talman! Det framgår tydligt av diskussionen att alla vill bli färdiga i december.
",sv,14
"Ponhamos fim a essa embaraçosa e prejudicial disputa, sobre qual das alterações é a melhor.
",pt,15
"De mänskliga rättigheterna kommer att stå kvar i centrum för den rollen.
",sv,12
"De er blevet myrdet uden rettergang.
",da,6
"Eso es indigno de la Unión Europea.
",es,7
"To je smešno in izredno nevarno za naše državljane.
",sl,9
"To słowa samej Komisji.
",pl,4
"Det er paradoksalt, at man af denne grund bliver kaldt modstander af Europa.
",da,13
"Tudi gradnja omrežij ter elektrarn terja svoj čas.
",sl,8
"Rad bi poudaril vlogo verstev v zvezi z doseganjem krščanskih načel, povezanih s prostovoljstvom.
",sl,14
"Ce qui vaut pour d'autres pays candidats s'applique aussi à la Lettonie.
",fr,14
"Je proto důležité za všech okolností uplatňovat jednoznačná pravidla, rychlé postupy a důstojné zacházení.
",cs,14
"Lainsäädännön parannusten tarve on huomattava.
",fi,5
"Jak Komise zareaguje na výše uvedené poznámky?
",cs,7
"U několika bodů jsem měl takříkaje národní výhrady nebo jsem hlasoval trochu jinak.
",cs,13
"Fru ordförande! Jag välkomnar våra föredragandes arbete.
",sv,7
"Ongelma on siinä.
",fi,3
"No es un hecho natural.
",es,5
"Écoutez, vous me posez un problème de conscience.
",fr,8
"Me siento muy satisfecho de que haya un consenso tan amplio sobre estas cuestiones.
",es,14
"Gracias por su amable atención.
",es,5
"I øvrigt er der tale om fuldstændig sundt og rask kvæg.
",da,11
"Naturligtvis är Tjetjenienkonflikten ett stort problem.
",sv,6
"Tako resno se jemlje ta problem.
",sl,6
"Kromě toho mu chci poděkovat za respekt a pozornost, které prokazoval všem stínovým zpravodajům.
",cs,14
"Argument, że to wewnętrzna sprawa Pakistanu jest zbyt daleko idącym uproszczeniem.
",pl,11
"Cela signifie des pertes budgétaires colossales et une hausse de l'emploi non déclaré.
",fr,14
"Hedgefondene udnytter måske situationen, men de forårsagede ikke krisen.
",da,9
"I denne form giver spørgetiden - det må man sige til Rådet - overhovedet ingen mening.
",da,14
"Se non altro, questo messaggio non dev'essere ulteriormente annacquato da opportunismi e interessi contrastanti.
",it,15
"J'aimerais inviter le Parlement à soutenir cette idée.
",fr,9
"Mnozí poslanci hovořili o Řecku.
",cs,5
"Tällainen tilanne syntyi myös viime vuonna, kun vuoden 2001 talousarvioon piti sisällyttää lisämäärärahoja Serbiaa varten.
",fi,14
"Il faut agir dès aujourd'hui pour atténuer ces répercussions.
",fr,10
"Písemná vysvětlení hlasování
",cs,3
"Ο φόρος δεν κάνει κανένα διαχωρισμό μεταξύ κερδοσκοπικών πράξεων και επενδύσεων.
",el,11
"To je zásadní a o to Komise maximálně usiluje.
",cs,9
"Med 27 eller 30 medlemsstater kan man ikke fortsat arbejde med enstemmighedsreglen.
",da,10
"Der Beitritt Kroatiens wird ein weiterer neuer Schritt für die Erweiterung der Europäischen Union sein.
",de,15
